protest   n.主张,断言,抗议;v.主张,断言抗议,拒付
prove   vt.证明,证实,检验,考验;vi.原来(是),证明(是)
provide   v.供应,供给,准备,预防,规定
provided   conj.倘若
province   n.省(一个国家的大行政区)
provision   n.供应,(一批)供应品,预备,防备,规定
provoke   vt.激怒,挑拨,煽动,惹起,驱使
psychological   adj.心理(上)的
publication   n.出版物,出版,发行,公布,发表
publicity   n.公开
publish   v.出版,刊印;vt.公布,发表
pulse   n.脉搏,脉冲
pump   n.泵,抽水机;vt.(用泵)抽(水),抽吸
pumpkin   n.南瓜
punch   n.冲压机,冲床,打孔机;vt.冲孔,打孔
punctual   adj.严守时刻的,准时的
purchase   vt.买,购买;n.买,购买
purity   n.纯净,纯洁,纯度
purple   adj.紫色的;n.紫色
purse   n.钱包
pursue   vt.追赶,追踪,追击,继续,从事
pursuit   n.追击
puzzle   n.难题,谜;v.(使)迷惑,(使)为难,迷惑不解
qualification   n.资格,条件,限制,限定,赋予资格
qualify   v.(使)具有资格,证明合格,限制修饰;vt.限制,限定
quest   n.寻求
queue   n.行列,长队,队列;vi.排队,排队等待
quit   vi.离开,辞职,停止;vt.离开,放弃,解除,停止
quiz   n.测验,提问,恶作剧;v.对...进行测验,盘问,挖苦
quotation   n.引用语,价格,报价单,行情表
quote   vt.引用,引证,提供,提出,报(价)
racial   adj.人种的,种族的,种族间的
rack   n.架,行李架,拷问台,小步跑,烧酒,破坏;vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取;vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑
radar   n.雷达,电波探测器
radiation   n.发散,发光,发热,辐射,放射,放射线,放射物
radical   adj.根本的,基本的,激进的;n.激进分子
rag   n.抹布,碎屑,石板瓦,破旧衣服,少量;vt.揶揄,戏弄,欺负;vi.喧闹
rage   n.愤怒,情绪激动,狂暴,精神错乱;vi.大怒,狂吹,风行
raid   n.袭击,搜捕;v.奇袭,搜捕
rail   n.横杆,围栏,扶手,铁轨;vt.以横木围栏,铺铁轨;vi.责骂,抱怨
railroad   n.铁路;vt.<美>由铁道运输
railway   n.[英]铁道,铁路
rainbow   n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西;adj.五彩缤纷的
rally   v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结;n.集会
random   n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地
range   n.山脉,行列,范围,射程;vt.排列,归类于,使并列,放牧;vi.平行,延伸,漫游
rank   n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩
rap   n.叩击,轻拍,轻敲,斥责;vt.敲,拍,打,厉声说出,斥责,使着迷;vi.敲击,交谈;abbr.[军]RocketAssistedProjectile,火箭助推炮弹
rare   adj.稀罕的,杰出的,珍贵的,(肉类)半熟的;adv.非常
rarely   adv.很少地,罕有地
rat   n.老鼠
rate   n.比率,速度,等级,价格,费用;vt.估价,认为,鉴定等级,责骂;vi.被评价,责骂
ratio   n.比,比率,[财政]复本位制中金银的法定比价
rational   adj.理性的,合理的,推理的;n.[数]有理数
raw   n.生肉,擦伤处,身上的痛处;adj.未加工的,生疏的,处于自然状态的,不掺水的,擦掉皮的,阴冷的,刺痛的;vt.擦伤
react   vi.起反应,起作用,反抗,起反作用
reaction   n.反应,反作用,反动(力)
readily   adv.乐意地,欣然,容易地
realistic   adj.现实(主义)的
reality   n.真实,事实,本体,逼真
realm   n.领域
rear   n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起
