stare   v.(～at)凝视,盯着看
starve   vt.使饿死;vi.饿得要死
statement   n.声明,陈述,综述
static   adj.静态的,静力的,静电噪声
stationary   固定的
statistic   n.统计量;adj.统计的,统计学的
statue   vt.以雕像装饰;n.雕像
status   n.身份,地位,情形,状况
steady   adj.稳固的,稳定的,坚定的,扎实的,坚定不移的;v.(使)稳定,(使)稳固
steamer   n.汽船,蒸汽机
steep   adj.陡峭的,险峻的,急剧升降的,不合理的;n.悬崖,峭壁,浸渍,浸渍液;v.浸,泡,沉浸
steer   v.驾驶,掌舵
stem   n.茎,干,词干,茎干;v.滋生,阻止
stereo   n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的
stern   adj.严厉的,苛刻的;n.船尾
sticky   adj.粘的,粘性的
stiff   adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的
stimulate   vt.刺激,激励;v.刺激,激励
sting   n.刺,刺痛,针刺;v.刺,刺痛,刺激
stir   n.轰动,搅动,监牢;vt.动,移动,摇动,激起,搅和,惹起;vi.走动,传播,流行
stock   n.树干,库存,股票,股份,托盘,祖先,血统,原料;adj.股票的,普通的,常备的,存货的,繁殖用的;vt.装把手于,进货,备有,放牧;vi.出新芽,采购
stocking   n.长袜
stoop   n.弯腰,屈背,屈服;vi.弯下,弯下上身,屈服,弯腰,堕落;vt.俯曲,辱没
storage   n.贮藏(量),贮藏库,存储
stove   n.炉
strain   n.过度的疲劳,紧张,张力,应变;vt.扭伤,损伤;v.拉紧,扯紧,(使)紧张,尽力
strap   n.带,皮带;vt.用带缚住,用带捆扎
strategic   adj.战略的,战略上的
strategy   n.策略,军略
straw   n.稻草,麦杆
stream   n.溪,川,流,一股,一串,河流;v.流,涌,流注
strengthen   v.加强,巩固
stress   n.重压,逼迫,压力,重点,着重,强调,重音;vt.着重,强调,重读
stretch   v.伸展,伸长;n.一段时间,一段路程,伸展
striking   adj.打击的,显著的,惊人的,罢工的
string   n.线,细绳,一串,一行;v.排成一列
strip   vt.剥,剥去;n.条,带
stripe   n.斑纹,条纹
stroke   n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击;vt.抚摸
structure   n.结构,构造,建筑物;vt.建筑,构成,组织
studio   n.画室,照相室,工作室,(无线电或电视节目的)演播室,(制作电影的)摄影棚,(电影公司的)摄影场
stuff   n.原料,材料,素材资料;vt.塞满,填满,填充
subject   n.题目,主题,科目,学科,国民,[语法]主语;adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的;vt.使屈从于...,使隶属
subjective   adj.主观的,个人的
submerge   v.浸没,淹没,掩没;vi.潜水
submit   v.(使)服从,(使)顺从;vt.提交,递交
subordinate   adj.次要的,从属的,下级的;n.下属;v.服从
subsequent   adj.后来的,并发的
substance   n.物质,实质,主旨
substantial   adj.坚固的,实质的,真实的,充实的
substitute   n.代用品,代替者,替代品;v.代替,替换,替代
subtract   v.(～from)减去,减
suburb   n.市郊,郊区
