troop   n.群,组,多数,军队;vi.群集,结队,成群而行;vt.把(骑兵)编成骑兵连
tropical   adj.热带的,热情的
troublesome   adj.麻烦的,讨厌的,棘手的
truly   adv.真实地,不假
trumpet   n.喇叭
trunk   n.干线,树干,躯干,箱子,主干,象鼻;vt.把...放入旅行箱内;adj.树干的,躯干的,干线的,箱形的
tube   n.管,管子,[英]地铁,<美>电子管,显象管
tuition   n.学费
tune   n.曲调,调子,和谐,合调;vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪
tunnel   n.隧道,地道
turbine   n.涡轮
tutor   n.家庭教师,(大学)指导教师,助教,监护人,辅导教师;v.辅导
twist   n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状;vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织;vi.扭弯,扭曲,缠绕,扭动,呈螺旋形
typewriter   n.打字机
typical   adj.典型的,象征性的
typist   n.打字员
tyre   n.轮胎;vt.装轮胎于
ugly   adj.丑陋的,难看的
ultimate   adj.最后的,最终的,根本的;n.最终
umbrella   n.伞,雨伞,庇护
uncover   vt.揭开,揭露;v.揭示
undergo   vt.经历,遭受,忍受
undergraduate   n.大学肄业生,(尚未取得学位的)大学生;adj.大学生的
underground   adj.地下的,地面下的,秘密的;n.[英]地铁;adv.在地下,秘密地
underline   vt.在...下面划线,作...的衬里,加下划线,强调;n.下划线
underneath   adv.在下面;prep.在...的下面
understanding   n.谅解,理解
undertake   vt.承担,担任,许诺,保证;v.采取
undo   vt.解开,松开;v.取消,撤消
undoubtedly   adv.无庸置疑地,的确地
uneasy   adj.心神不安的,不自在的,不稳定的,不舒服的;adv.心神不安地,不自在地,不稳定地
unemployment   n.失业,失业人数
unexpected   adj.想不到的,意外的,未预料到
unfortunately   adv.不幸地
unify   vt.统一,使成一体
union   n.联合,合并,结合,联盟,协会
unique   adj.唯一的,独特的
unite   v.联合,团结
unity   n.团结,联合,统一,一致
universal   adj.普遍的,全体的,通用的,宇宙的,世界的
universe   n.宇宙,世界,万物,领域
unless   conj.如果不,除非
unlike   adj.不同的,不相似的;prep.不象...,和...不同
unload   vi.卸货,退子弹;vt.摆脱...之负担,倾销,卸
unusual   adj.不平常的,与众不同的,不寻常的
up-to-date   adj.直到现在的,最近的,当代的,新式的
upper   adj.上面的,上部的,较高地位的
upright   adj.垂直的,竖式的,正直的,诚实的,合乎正道的;adv.笔直,竖立着;n.垂直,竖立
upset   vt.颠覆,推翻,扰乱,使不适,使心烦;vi.翻倒,倾覆;n.翻倒,混乱
urban   adj.城市的,市内的（suburbn.市郊,郊区;exurbn.城市远郊,城市远郊富裕居住区）
urge   vt.催促,力劝;n.强烈欲望,迫切要求;v.促进
urgent   adj.急迫的,紧急的
usage   n.使用,用法
utility   n.效用,有用
utilize   vt.利用
utmost   n.极限,最大可能,极力;adj.极度的,最远的
utter   adj.全然的,绝对的;vt.发出,做声,发表,发射,流通
vacant   adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的
vacation   n.假期,休假,(房屋等的)腾出;v.<美>度假,休假
vacuum   n.真空,空间,真空吸尘器;adj.真空的,产生真空的,利用真空的;vt.用真空吸尘器打扫
vague   adj.含糊的,不清楚的,茫然的,暧昧的
vain   adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的
valid   adj.[律]有效的,有根据的,正当的,正确的
van   n.有篷货车,先锋,前驱,前卫;vt.用车搬运
vanish   vi.消失,突然不见,[数]成为零;n.[语]弱化音
vapour   n.蒸汽,水蒸气
variable   n.[数]变数,可变物,变量;adj.可变的,不定的,易变的,[数]变量的
variation   n.变更,变化,变异,变种,[音]变奏,变调
variety   n.变化,多样性,种种,品种,种类
various   adj.不同的,各种各样的,多方面的,多样的
vary   vt.改变,变更,使多样化;vi.变化,不同,违反
vast   adj.巨大的,辽阔的,大量的,巨额的
vehicle   n.交通工具,车辆,媒介物,传达手段
venture   n.冒险,投机,风险;v.冒险,冒昧,斗胆,胆敢(谦语)
verify   vt.检验,校验,查证,核实;[计]打开或关闭文件的读写校验
version   n.译文,译本,翻译
versus   prep.对(指诉讼,比赛等中),与...相对
vertical   adj.垂直的,直立的,顶点的,[解]头顶的;n.垂直线,垂直面,竖向
vessel   n.船,容器,器皿,脉管,导管
veteran   n.老兵,老手,富有经验的人,退伍军人;adj.老兵的,经验丰富的
via   prep.经,通过,经由
vibrate   v.(使)振动,(使)摇摆
vice   n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷;vt.钳住;prep.代替
victim   n.受害人,牺牲者,牺牲品
video   n.电视,录象,视频
viewpoint   n.观点
vigorous   adj.精力旺盛的,有力的,健壮的
vinegar   n.醋
violate   vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴
violence   n.猛烈,强烈,暴力,暴虐,暴行,强暴
violet   n.紫罗兰;adj.紫罗兰色的
violin   n.小提琴,小提琴手
virtual   adj.虚的,实质的,[物]有效的,事实上的
virtually   adv.事实上,实质上
virtue   n.德行,美德,贞操,优点,功效,效力,英勇(vertu[vE:5tu:]n.艺术品或古董,爱好古董者)
virus   n.[微]病毒,滤过性微生物,毒害,恶毒(vires[5vaiEri:z]n.活力)
visible   adj.看得见的,明显的,显著的;n.可见物
vision   n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象;vt.梦见,想象,显示
visual   adj.看的,视觉的,形象的,栩栩如生的
vital   adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的
