negotiate   v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过
neighbourhood   n.邻居关系(美作：neighborhood)
nephew   n.侄子,外甥
nerve   n.神经,胆量,勇气,叶脉;vt.鼓起勇气
nest   n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具;vi.筑巢,找鸟巢;vt.造巢,使套入
network   n.网络,网状物,广播网
neutral   n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的
nevertheless   conj.然而,不过;adv.仍然,不过
niece   n.侄女,甥女
nightmare   n.梦魇,恶梦,可怕的事物
nitrogen   n.[化]氮
nonsense   n.胡说,废话
normal   n.正规,常态,[数学]法线;adj.正常的,正规的,标准的
normally   adv.正常地,通常地
notebook   n.笔记簿,笔记本
noticeable   adj.显而易见的,值得注意的
notify   v.通报
notion   n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物
notwithstanding   prep.虽然,尽管;adv.尽管,还是;conj.虽然,尽管
nowhere   adv.无处,到处都无
nuclear   adj.[核]核子的,原子能的,核的,中心的
nucleus   [nuclear的复数,见nuclear];n.核子
nuisance   n.讨厌的人或东西,麻烦事,损害
numerous   adj.众多的,许多的,无数的
nursery   n.托儿所
nurture   n.养育,教育,教养,营养品;vt.养育,给与营养物,教养
nylon   n.尼龙
obey   v.服从,顺从
object   n.物体,目标,宾语,对象;vi.反对,拒绝,抗议;vt.提出...来反对
objection   n.异议,缺陷,妨碍,拒绝之理由
objective   n.目标,目的,(显微镜的)(接)物镜,[语法]宾格;adj.客观的,[语法]宾格的
obligation   n.义务,职责,债务
oblige   vt.迫使,责成
observation   n.观察,观测,观察资料(或报告)
observe   vt.观察,观测,遵守,评述,说
observer   n.观测者,观察员,遵守者
obstacle   n.障碍,妨害物
obtain   vt.获得,得到
obvious   adj.明显的,显而易见的
occasion   n.场合,时机,机会
occasional   adj.偶然的,非经常的,特殊场合的,临时的
occupation   n.职业,占有,占有(房屋等)期间
occupy   vt.占,占用,占领,占据
occur   vi.发生,出现
occurrence   n.发生,出现,事件,发生的事情
odd   adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的
offend   v.犯罪,冒犯,违反,得罪,使...不愉快
offense   n.进攻
offensive   adj.讨厌的,无礼的,攻击性的;n.进攻,攻势
official   n.官员,公务员;adj.职务上的,公务的,官方的,正式的
olive   n.橄榄树,橄榄叶,橄榄枝,橄榄色
omit   vt.省略,疏忽,遗漏
onion   n.洋葱;vt.加洋葱于,因洋葱掉泪
opening   n.开,开放,开始,口子,穴,通路,空缺,机会;adj.开始的,开幕的
opera   n.歌剧
operational   adj.操作的,运作的
operator   n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子
opponent   adj.对立的,对抗的;n.对手,反对者
opportunity   n.机会,时机
oppose   vt.反对,使对立,使对抗,抗争;vi.反对
optical   adj.眼的,视力的,光学的
optimistic   adj.乐观的
optimum   n.最适宜;adj.最适宜的
option   n.选项,选择权,[经]买卖的特权
optional   adj.可选择的,随意的
oral   adj.口头的
orbit   n.轨道,势力范围,生活常规,眼眶;vt.绕...轨道而行;vi.进入轨道,沿轨道飞行,盘旋
orchestra   n.管弦乐队,乐队演奏处
orderly   adj.有秩序的,整齐的,整洁的;n.传令兵,勤务兵;adv.依次地,顺序地
ore   n.矿石,含有金属的岩石
organ   n.[机]元件,机构,机关,机关报;[乐]风琴,管风琴,嗓音;[生物]器官
organic   adj.器官的,有机的,组织的,建制的
organism   vt.组织,使有机化,给予生机;vi.组织起来
organization   n.组织,机构,团体
organize   n.生物体,有机体
origin   n.起源,由来,起因,出身,血统,[数]原点
original   adj.最初的,原始的,独创的,新颖的;n.原物,原作
ounce   n.盎司,少量,[动]雪豹
outcome   n.结果,成果
outer   adj.外部的,外面的,远离中心的;n.(射击)环外命中
outlet   n.出口,出路
outline   n.大纲,轮廓,略图,外形,要点,概要;vt.描画轮廓,略述
outlook   n.景色,风光,观点,见解,展望,前景
output   n.产量,输出,输出量
outset   n.开端,开始
outside   n.外面,外表,外界;adj.外面的,外表的,外界的;adv.在外面,外表,出界;prep.在...外
outstanding   adj.突出的,显著的
outward   adj.外面的,外表的,公开的,向外的,外出的;adv.向外,在外,表面上n.外表,周围世界
oval   adj.卵形的,椭圆的;n.卵形,椭圆形
oven   n.烤箱,烤炉,灶
overall   adj.全部的,全面的
overcome   vt.战胜,克服,胜过,征服;vi.得胜
overhead   adj.在头上的,高架的;n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处
overlook   vt.俯瞰,耸出,远眺,没注意到;n.眺望,俯瞰中的景色
overnight   n.头天晚上;adj.通宵的,晚上的,前夜的;adv.在前一夜,整夜,昨晚一晚上
overseas   adv.海外;adj.外国的,海外的
overtake   vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒
owe   vt.欠(债等),受到...的思想,感激,把...归功于;v.欠,应感激,应该把…归功于(to);vi.欠钱
owing   adj.(～to)由于,该付的,未付的,应归功于
owner   n.所有者,业主
